duration,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,flowPktsPerSecond,flowBytesPerSecond,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,class
9501115,28,16,4238250,4049808,296908.7813,364985.5,807291.5787,825945.8334,6.315048286,2260.366283,16,4049808,161035.8475,571035.0727,4457215,4565761,4674307,153507.2253,1632072,2840940,4049808,1709597.521,Non-VPN
5545334,30,6,2349340,2315198,267851.55,291859.6842,662553.265,667200.2627,7.393603343,3556.683872,6,2297754,138633.35,468135.293,2347008,2656002,2964996,436983.5055,1978303,2138028.5,2297754,225885.9684,Non-VPN
3483711,19,12,1039941,851636,143033.25,155777.1364,236563.5236,207113.5433,13.77841044,5734.689244,12,851636,74121.51064,145636.7973,-1,0,-1,0,-1,0,-1,0,Non-VPN
12128582,21,8,8107194,7918721,461149.0769,527329.6522,1616625.834,1669652.396,4.204943331,1559.291927,8,7918721,242571.64,1148808.901,2762034,5957443.5,9152853,4518991.452,2066591,4992656,7918721,4138080.807,Non-VPN
216249,27,10,78594,187939,15779.8,54062.25,35114.24323,90233.9161,50.86728725,17313.37486,10,137318,21624.9,44117.95698,-1,0,-1,0,-1,0,-1,0,Non-VPN
14701087,20,5,5881392,5932194,284572.902,341885.7442,889248.0281,946533.6678,6.530129371,2336.970049,5,5881355,154748.2842,649646.5903,2757283,4248801.333,6270335,1815508.408,1297996,3043251.333,5881355,2479421.917,Non-VPN
10300439,18,5,3029278,2997586,206406.551,223922.587,529234.2556,528180.1277,9.41707436,4264.866769,5,2979791,107296.2396,374934.6028,1566070,2510109.5,3810504,1123164.835,1197148,1725752.75,2979791,839675.3954,Non-VPN
13779710,72,138,13099598,13090662,1525469.667,1721668.875,4340984.862,4594460.313,1.378838887,564.8885209,23,13047812,765539.4444,3065746.578,13243650,13200000,13243650,0,13047812,13000000,13047812,0,Non-VPN
620945,18,6,156252,183469,31283.14286,51745.41667,49119.29753,65032.4954,45.09256053,21336.83337,6,138002,22997.96296,38169.67036,-1,0,-1,0,-1,0,-1,0,Non-VPN
244971,-1,-1,-1,-1,0,0,0,0,8.164231685,351.0619624,244971,244971,244971,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
58053,-1,-1,-1,-1,0,0,0,0,34.45127728,1481.404923,58053,58053,58053,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
54824,-1,-1,-1,-1,0,0,0,0,36.48037356,2808.988764,54824,54824,54824,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
57245,-1,-1,-1,-1,0,0,0,0,34.93754913,2323.347017,57245,57245,57245,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
58983,-1,-1,-1,-1,0,0,0,0,33.90807521,1458.047234,58983,58983,58983,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
56720,-1,-1,-1,-1,0,0,0,0,35.26093089,2715.091678,56720,56720,56720,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
59817,-1,-1,-1,-1,0,0,0,0,33.43531103,2223.448184,59817,59817,59817,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
10758874,10531933,10758874,10531933,10758874,10500000,10800000,0,0,0.371786118,42.476564,50031,10531933,3586291.333,6015436.658,10581964,10600000,10581964,0,10531933,10500000,10531933,0,Non-VPN
12888333,89979,44534,12624278,12492923,4296111,4221436,7212526.76,7163436.111,0.620716426,64.39932922,79,12492923,1841190.429,4697280.956,12838305,12800000,12838305,0,12492923,12500000,12492923,0,Non-VPN
57532,-1,-1,-1,-1,0,0,0,0,34.76326218,1494.820274,57532,57532,57532,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
55025,-1,-1,-1,-1,0,0,0,0,36.34711495,2798.727851,55025,55025,55025,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
57059,-1,-1,-1,-1,0,0,0,0,35.05143799,2330.920626,57059,57059,57059,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
11878561,159773,160546,3687861,3521252,2331220.4,2375712.2,1381976.802,1364931.959,1.010223376,81.40716708,49999,3465678,1079869.182,1421278.298,2044629,2926534.5,3637089,772802.6194,1994205,2805930.5,3465678,696022.6139,Non-VPN
57471,-1,-1,-1,-1,0,0,0,0,34.80016008,1496.406883,57471,57471,57471,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
55030,-1,-1,-1,-1,0,0,0,0,36.34381247,2798.47356,55030,55030,55030,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
57023,-1,-1,-1,-1,0,0,0,0,35.07356681,2332.392193,57023,57023,57023,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
11390324,68498,41928,8511243,8582369,1884583.167,1869855.333,3306002.602,3337638.954,1.229113412,102.104207,79,8408489,876178.7692,2300815.429,2463882,5521811.5,8579741,4324565.372,1529086,4968787.5,8408489,4864472.512,Non-VPN
12021295,129042,130025,9803389,10025737,2359679,2404259,4177254.123,4276257.507,0.99822856,83.60164192,50015,9803389,1092845,2902928.679,1212858,5533131,9853404,6109788.67,1032008,5417698.5,9803389,6202302.985,Non-VPN
57811,-1,-1,-1,-1,0,0,0,0,34.59549221,1487.606165,57811,57811,57811,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
56208,-1,-1,-1,-1,0,0,0,0,35.58212354,2739.823513,56208,56208,56208,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
60344,-1,-1,-1,-1,0,0,0,0,33.14331168,2204.030227,60344,60344,60344,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
8194952,89905,36324,5404093,5625758,1328680.5,1365825.333,2066113.229,2158809.806,1.708368762,171.9351132,88,5404093,630380.9231,1478768.456,1488138,3541538,5594938,2903946.129,1316693,3360393,5404093,2890228.257,Non-VPN
57536,-1,-1,-1,-1,0,0,0,0,34.76084538,1494.716352,57536,57536,57536,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
55429,-1,-1,-1,-1,0,0,0,0,36.08219524,2778.329034,55429,55429,55429,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
57572,-1,-1,-1,-1,0,0,0,0,34.73910929,2310.150768,57572,57572,57572,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
5873562,80136,34443,5621745,5480150,1957854,1883653.667,3173352.812,3115074.09,1.362035508,140.8004206,69,5480150,839080.2857,2047241.627,5822573,5822573,5822573,0,5480150,5480150,5480150,0,Non-VPN
57422,-1,-1,-1,-1,0,0,0,0,34.82985615,1497.683815,57422,57422,57422,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
54937,-1,-1,-1,-1,0,0,0,0,36.40533702,2803.210951,54937,54937,54937,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
181425,-1,-1,-1,-1,0,0,0,0,11.02383905,1025.217032,181425,181425,181425,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
9096970,130378,131955,8743412,8965015,4436895,4548485,6090334.748,6245916.625,0.659560271,73.98067708,49968,8743412,1819394,3870961.082,8925335,8925335,8925335,0,8743412,8743412,8743412,0,Non-VPN
8757913,208874,37291,8058185,8230579,2919304.333,2845583,4452633.946,4664980.674,0.913459634,98.65364043,48,8058185,1251130.429,3003118.685,8267059,8267059,8267059,0,8058185,8058185,8058185,0,Non-VPN
57636,-1,-1,-1,-1,0,0,0,0,34.70053439,1492.122979,57636,57636,57636,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
54889,-1,-1,-1,-1,0,0,0,0,36.4371732,2805.662337,54889,54889,54889,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
57271,-1,-1,-1,-1,0,0,0,0,34.92168811,2322.29226,57271,57271,57271,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
13147941,90858,43339,10144287,10366032,2603247.6,2629588.2,4335250.614,4444633.641,0.912690436,100.3198904,81,10144287,1195267.364,3051244.766,2610685,6402467.5,10194250,5362390.237,2419489,6281888,10144287,5462257.049,Non-VPN
11718031,90559,37796,8949375,9170828,1932783,1953005.167,3484260.87,3574968.591,1.19473997,123.9116026,107,8949375,901387,2448176.825,1545777,5338356,9130935,5363516.658,1374836,5162105.5,8949375,5356007.891,Non-VPN
57780,-1,-1,-1,-1,0,0,0,0,34.61405331,1488.404292,57780,57780,57780,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
54803,-1,-1,-1,-1,0,0,0,0,36.4943525,2810.065142,54803,54803,54803,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
57401,-1,-1,-1,-1,0,0,0,0,34.84259856,2317.032804,57401,57401,57401,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
14846225,135668,136622,11431645,11431717,4931764.667,4932223,5837545.133,5837142.39,0.538857521,48.69924846,49556,11381740,2120889.286,4246107.478,3228330,7398334.5,11568339,5897276.919,3178425,7280082.5,11381740,5800619.665,Non-VPN
12042383,134714,135160,5223639,5224747,2398528.8,2398476.2,1901388.872,1931124.867,0.996480514,79.80148115,49739,5173637,1094762.091,1678935.658,1423241,2998095.25,5359907,1709974.03,1252013,2853466,5173637,1705562.571,Non-VPN
57609,-1,-1,-1,-1,0,0,0,0,34.71679772,1492.822302,57609,57609,57609,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
54473,-1,-1,-1,-1,0,0,0,0,36.71543701,2827.088649,54473,54473,54473,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
57010,-1,-1,-1,-1,0,0,0,0,35.08156464,2332.924048,57010,57010,57010,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
178583,-1,-1,-1,-1,0,0,0,0,11.19927429,481.5687943,178583,178583,178583,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
13344534,133393,133832,8235216,8013859,3336133.5,3280854.25,3828574.08,3734512.478,0.749370491,66.46916258,49585,8013859,1482726,2818335.962,4522243,6580558.5,8638874,2910897.696,4350711,6182285,8013859,2590236.791,Non-VPN
57418,-1,-1,-1,-1,0,0,0,0,34.83228256,1497.78815,57418,57418,57418,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
55038,-1,-1,-1,-1,0,0,0,0,36.33852974,2798.06679,55038,55038,55038,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
57120,-1,-1,-1,-1,0,0,0,0,35.0140056,2328.431373,57120,57120,57120,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
2584495,2413234,2412833,2413234,2412833,2413234,2412833,0,0,1.547691135,91.31377697,171261,2241572,861498.3333,1195178.871,2413234,2413234,2413234,0,2241572,2241572,2241572,0,Non-VPN
11273409,89928,46927,10878343,11101041,3713397.333,3757803,6205160.394,6359551.82,0.709634504,82.31760242,70,10878343,1610487,4087085.789,10929190,10900000,10929190,0,10878343,10900000,10878343,0,Non-VPN
67336,-1,-1,-1,-1,0,0,0,0,29.70179399,1277.177141,67336,67336,67336,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
66827,-1,-1,-1,-1,0,0,0,0,29.9280231,2304.457779,66827,66827,66827,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
65884,-1,-1,-1,-1,0,0,0,0,30.35638395,2018.699533,65884,65884,65884,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
12555431,100531,35564,5603071,5603222,1556105.375,1395047.889,2254421.977,2209759.259,1.513289349,140.2580286,86,5431928,697523.9444,1607652.116,4769333,6106285.5,7443238,1890736.358,4733683,5082805.5,5431928,493733.7744,Non-VPN
57568,-1,-1,-1,-1,0,0,0,0,34.74152307,1493.885492,57568,57568,57568,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
54832,-1,-1,-1,-1,0,0,0,0,36.47505107,2808.578932,54832,54832,54832,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
57503,-1,-1,-1,-1,0,0,0,0,34.78079405,2312.922804,57503,57503,57503,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
1124443,-1,1066808,-1,1066808,0,1066808,0,0,2.667987617,112.0554799,57635,1066808,562221.5,713593.0717,1124443,1124443,1124443,0,1066808,1066808,1066808,0,Non-VPN
13873956,138293,139273,11424275,11414111,2766617.4,2764703,4863924.492,4859320.235,0.864929945,69.55478308,40869,11373242,1261268.727,3376724.224,1541152,6477631.5,11414111,6981236.259,1351826,6362534,11373242,7086211.211,Non-VPN
56719,-1,-1,-1,-1,0,0,0,0,35.26155257,2715.139548,56719,56719,56719,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
57410,-1,-1,-1,-1,0,0,0,0,34.83713639,2316.66957,57410,57410,57410,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
6066303,133251,135377,5710262,5930926,2921756.5,3033151.5,3943542.297,4098071.999,0.989070279,96.76404228,49537,5710262,1213260.6,2514383.68,5895176,5895176,5895176,0,5710262,5710262,5710262,0,Non-VPN
44775,-1,44716,-1,44716,0,44716,0,0,67.00167504,9313.232831,59,44716,22387.5,31577.26751,-1,0,-1,0,-1,0,-1,0,Non-VPN
54843,-1,-1,-1,-1,0,0,0,0,36.46773517,2808.015608,54843,54843,54843,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
57021,-1,-1,-1,-1,0,0,0,0,35.074797,2332.474001,57021,57021,57021,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
2431381,2259214,2260166,2259214,2260166,2259214,2260166,0,0,1.645155572,97.06417875,171215,2087999,810460.3333,1106381.042,2259214,2259214,2259214,0,2087999,2087999,2087999,0,Non-VPN
54561,-1,-1,-1,-1,0,0,0,0,36.65621964,2822.528913,54561,54561,54561,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
58175,-1,-1,-1,-1,0,0,0,0,34.37902879,2286.205415,58175,58175,58175,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
14782064,143921,42574,14423907,14373496,4927354.667,4853568.333,8224330.715,8244657.13,0.541196412,78.94702661,46,14373450,2111723.429,5407180.233,14587686,14600000,14587686,0,14373450,14400000,14373450,0,Non-VPN
14120653,138853,140600,8278177,8499459,4632929,4706884.333,4135520.587,4232800.601,0.566546037,50.35177906,50202,8278177,2017236.143,3405174.085,5480594,6974786.5,8468979,2113107.298,5429808,6853992.5,8278177,2014101.035,Non-VPN
55688,-1,-1,-1,-1,0,0,0,0,35.91438012,2765.407269,55688,55688,55688,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
56970,-1,-1,-1,-1,0,0,0,0,35.10619624,2334.56205,56970,56970,56970,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
13398746,1318109,32984,6119537,6136567,3349686.5,2635297.8,2080676.602,2326640.683,0.820972351,68.88704361,56,6086497,1339874.6,2030749.328,1300183,3336945,6136567,2091769.265,1267143,3230488,6086497,2102299.833,Non-VPN
12574025,90485,36578,5911281,6133401,2082183.333,2067124.667,2725901.505,2821561.819,1.113406407,113.5674535,83,5911281,967232.6923,2019100.941,5218917,6115340.5,7011764,1267734.271,5047640,5479460.5,5911281,610686.4076,Non-VPN
54881,-1,-1,-1,-1,0,0,0,0,36.44248465,2806.071318,54881,54881,54881,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
57517,-1,-1,-1,-1,0,0,0,0,34.77232818,2312.359824,57517,57517,57517,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
54826,-1,-1,-1,-1,0,0,0,0,36.47904279,2808.886295,54826,54826,54826,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
57197,-1,-1,-1,-1,0,0,0,0,34.96686889,2325.296781,57197,57197,57197,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
57,-1,-1,-1,-1,0,0,0,0,35087.7193,1403508.772,57,57,57,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
10492569,134111,133067,7484463,7711763,3422002.667,3497523,3735891.606,3860149.984,0.762444355,66.80918658,50042,7484463,1498938.429,2801235.145,2647739,5158177.5,7668616,3550296.174,2597392,5040927.5,7484463,3455681.044,Non-VPN
4263903,101281,44536,3918857,3921002,1397956,1364133,2183464.816,2214696.066,1.876215289,198.4097668,81,3747353,609129,1385343.849,3918857,3918857,3918857,0,3747353,3747353,3747353,0,Non-VPN
55711,-1,-1,-1,-1,0,0,0,0,35.89955305,2764.265585,55711,55711,55711,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
57312,-1,-1,-1,-1,0,0,0,0,34.89670575,2320.630932,57312,57312,57312,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
10696889,139707,132028,4238545,4238796,2129335.8,2131022.2,1898983.6,1902158.195,1.121821494,87.59556166,41778,4188586,972444.4545,1604325.237,1319429,3551703.667,5096886,1980244.241,1137801,3124440.333,4188586,1721937.34,Non-VPN
56642,-1,-1,-1,-1,0,0,0,0,35.30948766,2718.83055,56642,56642,56642,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
57670,-1,-1,-1,-1,0,0,0,0,34.6800763,2306.225074,57670,57670,57670,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
12980608,134663,136039,8048789,8058441,1616151.375,1616360.75,2701573.317,2712563.069,1.38668389,141.6728708,40864,8007925,763565.1765,1951238.169,1256892,4264949,8651284,3885099.22,1039061,3778292.667,8007925,3715809.06,Non-VPN
54856,-1,-1,-1,-1,0,0,0,0,36.4590929,2807.350153,54856,54856,54856,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
57507,-1,-1,-1,-1,0,0,0,0,34.77837481,2312.761925,57507,57507,57507,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
13339144,137306,47153,6154957,6104009,2657804,2657772,2723514.693,2792569.668,0.899607951,105.7039342,55,6103954,1212649.455,2190356.753,2099631,4429620,6323365,2145393.634,1911322,4277005.333,6103954,2147607.285,Non-VPN
55543,-1,-1,-1,-1,0,0,0,0,36.00813784,2772.626614,55543,55543,55543,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
58629,-1,-1,-1,-1,0,0,0,0,34.11281107,2268.501936,58629,58629,58629,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
13243257,115080,115008,4537258,4536234,1183684.909,1203932.455,1347457.721,1354308.561,1.812243015,177.4487953,49753,4486220,575793.7826,1063072.978,1391576,2614459.4,4536234,1253745.094,1204975,2234092,4486220,1300871.045,Non-VPN
55159,-1,-1,-1,-1,0,0,0,0,36.25881542,2791.928788,55159,55159,55159,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
352982,91244,40988,171794,140275,131519,90631.5,56957.45122,70206.51098,16.99803389,1895.280779,75,171719,70596.4,64932.98158,-1,0,-1,0,-1,0,-1,0,Non-VPN
57142,-1,-1,-1,-1,0,0,0,0,35.00052501,2327.534913,57142,57142,57142,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
177771,-1,-1,-1,-1,0,0,0,0,11.25042892,483.7684437,177771,177771,177771,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
14230956,5,18,2851227,2897302,233294.3607,206449.2059,541049.6958,533929.945,9.205284592,4326.483758,5,2839039,109468.8923,380835.5119,1404766,2308594.167,3504902,749668.6591,1032667,1686278,2839039,747657.6078,Non-VPN
14824509,19,4,2399151,2208529,157228.0957,180265.3537,373573.1455,356200.3439,12.00714304,4403.113789,4,2208529,83754.28814,255322.0751,2358817,3270634.333,4520877,1120055.642,1264686,1749979.667,2208529,472489.5202,Non-VPN
14509827,5,18,2894590,3082953,226092.4219,200850.4861,544248.1206,554954.5877,9.510795684,4253.255397,5,2894590,105911.146,384646.3252,1491610,2781386,3902148,888365.9538,1119046,1964447.4,2894590,655856.5827,Non-VPN
14596526,28,10,3582054,3543856,240935.9667,304094.2917,589598.6317,625423.9339,7.53603974,2626.652397,10,3531262,133913.0826,434869.547,1921242,4434371.667,8901938,3879097.34,1444971,2417569.333,3531262,1050277.698,Non-VPN
12996946,5,21,5157119,5160313,264419.2245,249940.8462,778196.1903,765635.5526,7.924938674,3604.07745,5,5107187,127421.0392,546368.3839,1383264,3544301,7347237,3303652.181,1126275,2638959,5107187,2155623.655,Non-VPN
14683187,23,5,4306765,4269663,276091.0755,326290.8667,763783.4059,786873.3282,6.810510552,2269.602641,5,4260689,148315.0202,550022.562,1523258,2896691.4,5887317,1727395.814,1117912,2239550.8,4260689,1228243.749,Non-VPN
11651772,5,16,5132312,5125969,298763.3846,279694.6098,880764.6213,873578.4055,7.037556176,3179.258914,5,5077735,143849.037,617491.7141,1930893,3288077,5463256,1902954.008,1661620,2845744,5077735,1934161.152,Non-VPN
9469543,20,4,5049123,4860293,294320.0313,349429.1852,905172.8934,937542.8475,6.441704737,2482.168358,4,4860293,157825.7167,642861.6837,1652738,4553687,7454636,4102561.42,1048217,2954255,4860293,2695544.79,Non-VPN
9640640,210594,40989,9430046,9430188,4820320,4735588.5,6519137.028,6639166.283,0.62236532,64.62226574,40,9260623,1928128,4099691.664,9430046,9430046,9430046,0,9260623,9260623,9260623,0,Non-VPN
56377,-1,-1,-1,-1,0,0,0,0,35.47545985,2731.610408,56377,56377,56377,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
64897,-1,-1,-1,-1,0,0,0,0,30.81806555,1818.265867,64897,64897,64897,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
12620636,124917,129760,12263285,12490876,6194101,6310318,8583122.325,8740628.947,0.475411857,54.43465765,57913,12263285,2524127.2,5444553.259,12450958,12500000,12450958,0,12263285,12300000,12263285,0,Non-VPN
56092,-1,-1,-1,-1,0,0,0,0,35.65570848,2745.489553,56092,56092,56092,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
12117432,88358,32995,3695568,3524358,2019572,1980202.333,1536020.832,1545154.989,1.155360311,94.574494,65,3524358,932110.1538,1352609.206,2388011,3012739.75,3887621,699403.4587,2218718,2824171.25,3524358,642124.9942,Non-VPN
56029,-1,-1,-1,-1,0,0,0,0,35.69580039,2748.57663,56029,56029,56029,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
11274574,140615,137407,8625036,8620061,2243758.6,2244446.2,3595055.142,3610029.629,1.064341766,88.606452,44160,8575901,1024961.273,2535780.568,2138912,5542412,8945912,4813275.86,1317523,4946712,8575901,5132448.304,Non-VPN
12290581,109694,42631,10251504,10026843,2048430.167,2010757.667,4031068.328,3945035.091,1.139083661,94.78803321,82,10026843,945429.3077,2740095.669,11450245,11500000,11450245,0,10026843,10000000,10026843,0,Non-VPN
56653,-1,-1,-1,-1,0,0,0,0,35.30263181,2718.302649,56653,56653,56653,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
8453121,96838,31524,5767856,5631692,1408853.5,1371267.333,2201642.302,2158989.405,1.65619302,167.2754951,71,5631692,650240.0769,1550472.471,1520202,3748224.5,5976247,3150899.637,1456274,3543983,5631692,2952466.382,Non-VPN
55283,-1,-1,-1,-1,0,0,0,0,36.17748675,2785.66648,55283,55283,55283,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
5614197,140573,136361,5247595,5477836,2694084,2807098.5,3611209.888,3776993.194,1.068719178,121.2996266,56642,5247595,1122839.4,2306261.601,5444810,5444810,5444810,0,5247595,5247595,5247595,0,Non-VPN
56774,-1,-1,-1,-1,0,0,0,0,35.22739282,2712.509247,56774,56774,56774,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
10364767,103822,44947,10090773,9965855,3454922.333,3378424.667,5746911.008,5705020.583,0.771845619,79.30713734,79,9965855,1480681,3741960.129,10305367,10300000,10305367,0,9965855,9965855,9965855,0,Non-VPN
8535132,47387,35436,8282896,8231836,4165141.5,2845044,5823384.26,4666545.968,0.82013963,88.69224284,60,8231776,1422522,3336330.859,8267272,8267272,8267272,0,8231776,8231776,8231776,0,Non-VPN
55886,-1,-1,-1,-1,0,0,0,0,35.7871381,2755.609634,55886,55886,55886,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
13419925,109091,62004,10634620,10412309,2683985,2636712,4547289.998,4466186.461,0.894192777,102.7576533,63,10412309,1219993.182,3121175.002,2644700,6613195.5,10581691,5612300.158,2300340,6356324.5,10412309,5736028.289,Non-VPN
11982364,86748,40746,9315360,9179769,1997060.667,1959947.667,3618801.422,3576250.179,1.168383801,117.67294,61,9179769,921720.3077,2507337,1197560,5358454,9519348,5884392.726,1144850,5162309.5,9179769,5681545.711,Non-VPN
56784,-1,-1,-1,-1,0,0,0,0,35.22118907,2712.031558,56784,56784,56784,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
14997779,93924,39827,11333225,11428172,3707141.75,3707059.25,5290006.689,5356961.879,0.666765392,60.40894455,76,11258081,1666419.889,3728644.563,3231800,7414283.5,11596767,5914924.89,3061709,7159895,11258081,5795710.222,Non-VPN
12160438,91429,36998,5135434,5226355,1998517.5,1998557.167,1968157.38,1980253.497,1.151274321,93.99332491,76,5057022,935418.3077,1568802.389,1418351,2997776.25,5396435,1816985.904,1360283,2840734.5,5057022,1685828.563,Non-VPN
55522,-1,-1,-1,-1,0,0,0,0,36.02175714,2773.6753,55522,55522,55522,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
13122222,92685,36526,7757273,7976783,2599803.8,2624444.4,3436451.147,3531386.574,0.91447927,79.78831634,79,7757273,1192929.273,2544923.571,4524260,6391716,8259172,2640981.602,4477353,6117313,7757273,2319253.674,Non-VPN
172665,-1,-1,-1,-1,0,0,0,0,11.58312339,498.0743057,172665,172665,172665,0,-1,0,-1,0,-1,0,-1,0,Non-VPN
